indice_tiempo,superficie_sembrada_trigo_pan,superficie_cosechada_trigo_pan,produccion_trigo_pan,rendimiento_trigo_pan
1969,6238470,5191080,7019726,1352
1970,4467955,3700577,4919767,1329
1971,4985687,4294504,5439840,1267
1972,5625107,4963365,7896787,1591
1973,4251550,3957830,6559916,1657
1974,5182780,4232990,5969991,141
1975,5752800,5270600,8570000,1626
1976,7191820,6428000,11000000,1711
1977,4599850,3909995,5299995,1356
1978,5229860,4685000,8100000,1729
1979,4999850,4787000,8100000,1692
1980,6195870,5022990,7779990,1549
1981,6565810,5925860,8299810,1401
1982,7409800,7320000,15000000,2049
1983,7199860,7072860,12999720,1838
1984,6000000,5900000,13600000,2305
1985,5700000,5381600,8700000,1617
1986,5000000,4893400,8700000,1778
1987,4850000,4789100,9000000,1879
1988,4750000,4651315,8540000,1836
1989,5500000,5285474,10000000,1892
1990,6178400,5797500,10992400,1896
1991,4750850,4546650,9884000,2174
1992,4547700,4254700,9874400,2321
1993,4909900,4776700,9658300,2022
1994,5307850,5220590,11306210,2166
1995,5087800,4877650,9445015,1936
1996,7366850,7099510,15913600,2242
1997,5918665,5701815,14800230,2596
1998,5453250,5399080,12443000,2305
1999,6300000,6153440,15302560,2487
2000,6496600,6408045,15959352,2491
2001,7108900,6840720,15291660,2235
2002,6300210,6050210,12301442,2033
2003,6039857,5735292,14562955,2539
2004,6255365,6061930,15925025,2627
2005,5222485,4975920,12593396,2531
2006,5675975,5540405,14547960,2626
2007,5951577,5777560,16354091,2831
2008,4733735,4266430,8376452,1963
2009,3556705,3272740,9023139,2757
2010,4582250,4531520,15875653,3503
2011,4630600,4496078,14500519,3225
2012,3162138,3019403,8024996,2658
2013,3648070,3451785,9188339,2662
2014,5261035,4957300,13930078,281
2015,4381128,3953102,11314952,2862
2016,6364015,5566385,18395106,3305
2017,5927610,5822173,18518045,3181
2018,6287149,6050953,19459727,3216
