anio,provincia,provincia_id,rango_superficie,EAP_con_limites,hectareas
2002,Buenos Aires,06,0 - 5,2180,6246.7
2002,Buenos Aires,06,5.1 - 10,1426,11476.1
2002,Buenos Aires,06,10.1 - 25,2918,52822
2002,Buenos Aires,06,25.1 - 50,4527,176788.9
2002,Buenos Aires,06,50.1 - 100,7017,535579.6
2002,Buenos Aires,06,100.1 - 200,8827,1309159.2
2002,Buenos Aires,06,200.1 - 500,11449,3736838.8
2002,Buenos Aires,06,500.1 - 1000 ,6433,4548668.6
2002,Buenos Aires,06,1000.1 - 2500,4588,7011887.4
2002,Buenos Aires,06,2500.1 - 5000,1265,4333700.7
2002,Buenos Aires,06,5000.1 - 7500 ,291,1756911.3
2002,Buenos Aires,06,7500.1 - 10000,94,807521.2
2002,Buenos Aires,06,10000.1 - 20000,78,1070255
2002,Buenos Aires,06,20000 +,14,430814
2002,Catamarca,10,0 - 5,3745,7386
2002,Catamarca,10,5.1 - 10,768,5677
2002,Catamarca,10,10.1 - 25,589,9846.6
2002,Catamarca,10,25.1 - 50,340,12225.9
2002,Catamarca,10,50.1 - 100,237,18230.7
2002,Catamarca,10,100.1 - 200,264,41779.3
2002,Catamarca,10,200.1 - 500,304,99239.9
2002,Catamarca,10,500.1 - 1000 ,190,142244.7
2002,Catamarca,10,1000.1 - 2500,133,210666.1
2002,Catamarca,10,2500.1 - 5000,63,213670
2002,Catamarca,10,5000.1 - 7500 ,19,117509.5
2002,Catamarca,10,7500.1 - 10000,16,139484.6
2002,Catamarca,10,10000.1 - 20000,17,234580.6
2002,Catamarca,10,20000 +,9,336264.8
2002,Chaco,22,0 - 5,818,2692.2
2002,Chaco,22,5.1 - 10,607,4931.4
2002,Chaco,22,10.1 - 25,1169,22306
2002,Chaco,22,25.1 - 50,2101,89282.7
2002,Chaco,22,50.1 - 100,3023,254043.2
2002,Chaco,22,100.1 - 200,2656,405957
2002,Chaco,22,200.1 - 500,2883,937545.1
2002,Chaco,22,500.1 - 1000 ,1246,878197.8
2002,Chaco,22,1000.1 - 2500,901,1432254.6
2002,Chaco,22,2500.1 - 5000,190,667928.5
2002,Chaco,22,5000.1 - 7500 ,46,279011
2002,Chaco,22,7500.1 - 10000,22,191570.6
2002,Chaco,22,10000.1 - 20000,24,332503
2002,Chaco,22,20000 +,8,401508.7
2002,Chubut,26,0 - 5,140,412.9
