año,provincia,provincia_id,tipo_juridico,EAP_con_limites,hectareas
2002,Buenos Aires,06,Personas físicas,36262,11912494.8
2002,Catamarca,10,Personas físicas,6190,896559.1
2002,Chaco,22,Personas físicas,14173,4215860
2002,Chubut,26,Personas físicas,2527,11099126.1
2002,Córdoba,14,Personas físicas,18826,6492713.3
2002,Corrientes,18,Personas físicas,12998,3175666
2002,Entre Ríos,30,Personas físicas,17924,3411219.6
2002,Formosa,34,Personas físicas,8241,3830428
2002,Jujuy,38,Personas físicas,3514,699071.7
2002,La Pampa,42,Personas físicas,5673,7534840.7
2002,La Rioja,46,Personas físicas,5080,1985596.5
2002,Mendoza,50,Personas físicas,23380,4079562.5
2002,Misiones,54,Personas físicas,25761,1200742.1
2002,Neuquén,58,Personas físicas,1741,799648.9
2002,Río Negro,62,Personas físicas,5655,9860945.7
2002,Salta,66,Personas físicas,4673,2039792.8
2002,San Juan,70,Personas físicas,6428,360050.9
2002,San Luis,74,Personas físicas,3550,2847025.8
2002,Santa Cruz,78,Personas físicas,547,9976404.9
2002,Santa Fe,82,Personas físicas,20624,5974224.1
2002,Santiago del Estero,86,Personas físicas,9861,3547089.2
2002,Tierra del Fuego,94,Personas físicas,58,410152
2002,Tucumán,90,Personas físicas,8564,577887.7
2002,Buenos Aires,06,Sociedades de hecho,8943,4779204.2
2002,Catamarca,10,Sociedades de hecho,291,236229
2002,Chaco,22,Sociedades de hecho,1269,769350.9
2002,Chubut,26,Sociedades de hecho,894,5230922.5
2002,Córdoba,14,Sociedades de hecho,5485,3174531.1
2002,Corrientes,18,Sociedades de hecho,1067,677111.6
2002,Entre Ríos,30,Sociedades de hecho,2641,1180572
2002,Formosa,34,Sociedades de hecho,629,572019.9
2002,Jujuy,38,Sociedades de hecho,443,170747.4
2002,La Pampa,42,Sociedades de hecho,1530,2749133.1
2002,La Rioja,46,Sociedades de hecho,580,540194.1
2002,Mendoza,50,Sociedades de hecho,3195,952830.3
2002,Misiones,54,Sociedades de hecho,1013,83252.2
2002,Neuquén,58,Sociedades de hecho,286,230067.8
2002,Río Negro,62,Sociedades de hecho,985,3414231.4
2002,Salta,66,Sociedades de hecho,602,468031.6
2002,San Juan,70,Sociedades de hecho,683,159393.3
2002,San Luis,74,Sociedades de hecho,464,941071.4
2002,Santa Cruz,78,Sociedades de hecho,298,5797666
2002,Santa Fe,82,Sociedades de hecho,6105,2978084.9
2002,Santiago del Estero,86,Sociedades de hecho,666,527450.5
2002,Tierra del Fuego,94,Sociedades de hecho,7,75802.2
2002,Tucumán,90,Sociedades de hecho,712,105197.2
2002,Buenos Aires,06,Sociedades accidentales,186,80035.2
2002,Catamarca,10,Sociedades accidentales,6,1567.5
2002,Chaco,22,Sociedades accidentales,14,24596
2002,Chubut,26,Sociedades accidentales,8,15813
2002,Córdoba,14,Sociedades accidentales,70,51003.4
2002,Corrientes,18,Sociedades accidentales,7,1566.5
2002,Entre Ríos,30,Sociedades accidentales,34,10672.2
2002,Formosa,34,Sociedades accidentales,7,4615
2002,Jujuy,38,Sociedades accidentales,4,1870
