año,provincia,provincia_id,tipo_juridico,EAP_sin_limites
2002,Buenos Aires,06,Personas físicas,9
2002,Catamarca,10,Personas físicas,2 377
2002,Chaco,22,Personas físicas,1 125
2002,Chubut,26,Personas físicas,121
2002,Córdoba,14,Personas físicas,560
2002,Corrientes,18,Personas físicas,558
2002,Entre Ríos,30,Personas físicas,0
2002,Formosa,34,Personas físicas,941
2002,Jujuy,38,Personas físicas,4 622
2002,La Pampa,42,Personas físicas,1
2002,La Rioja,46,Personas físicas,2 171
2002,Mendoza,50,Personas físicas,2 216
2002,Misiones,54,Personas físicas,817
2002,Neuquén,58,Personas físicas,3 110
2002,Río Negro,62,Personas físicas,389
2002,Salta,66,Personas físicas,4 350
2002,San Juan,70,Personas físicas,540
2002,San Luis,74,Personas físicas,76
2002,Santa Cruz,78,Personas físicas,2
2002,Santa Fe,82,Personas físicas,67
2002,Santiago del Estero,86,Personas físicas,9 973
2002,Tierra del Fuego,94,Personas físicas,0
2002,Tucumán,90,Personas físicas,319
2002,Buenos Aires,06,Sociedades de hecho,0
2002,Catamarca,10,Sociedades de hecho,66
2002,Chaco,22,Sociedades de hecho,72
2002,Chubut,26,Sociedades de hecho,35
2002,Córdoba,14,Sociedades de hecho,46
2002,Corrientes,18,Sociedades de hecho,12
2002,Entre Ríos,30,Sociedades de hecho,0
2002,Formosa,34,Sociedades de hecho,15
2002,Jujuy,38,Sociedades de hecho,298
2002,La Pampa,42,Sociedades de hecho,0
2002,La Rioja,46,Sociedades de hecho,93
2002,Mendoza,50,Sociedades de hecho,108
2002,Misiones,54,Sociedades de hecho,65
2002,Neuquén,58,Sociedades de hecho,250
2002,Río Negro,62,Sociedades de hecho,72
2002,Salta,66,Sociedades de hecho,366
2002,San Juan,70,Sociedades de hecho,39
2002,San Luis,74,Sociedades de hecho,5
2002,Santa Cruz,78,Sociedades de hecho,1
2002,Santa Fe,82,Sociedades de hecho,2
2002,Santiago del Estero,86,Sociedades de hecho,138
