año,provincia,provincia_id,tenencia_tierra,EAP_con_limites_parte_superficie,hectareas
2002,Buenos Aires,06,Aparcería,412,210229.5
2002,Buenos Aires,06,Arrendamiento,7922,6743804.1
2002,Buenos Aires,06,Contrato accidental,2601,1448422.7
2002,Buenos Aires,06,Ocupación con permiso,324,81596.6
2002,Buenos Aires,06,Ocupación de hecho,54,34561.5
2002,Buenos Aires,06,Otras combinaciones,1122,1255094.7
2002,Buenos Aires,06,Otras combinaciones sin tierra en propiedad,468,340332.4
2002,Buenos Aires,06,Otros,60,54733.4
2002,Buenos Aires,06,Sin discriminar tenencia,102,47866.9
2002,Catamarca,10,Aparcería,61,12683
2002,Catamarca,10,Arrendamiento,169,28894
2002,Catamarca,10,Contrato accidental,37,8983.8
2002,Catamarca,10,Ocupación con permiso,219,25935.3
2002,Catamarca,10,Ocupación de hecho,13,125.4
2002,Catamarca,10,Otras combinaciones,21,1967.8
2002,Catamarca,10,Otras combinaciones sin tierra en propiedad,18,3519.3
2002,Catamarca,10,Otros,8,426
2002,Catamarca,10,Sin discriminar tenencia,29,858
2002,Chaco,22,Aparcería,32,36426
2002,Chaco,22,Arrendamiento,718,546343.3
2002,Chaco,22,Contrato accidental,1016,535798.5
2002,Chaco,22,Ocupación con permiso,413,197245.6
2002,Chaco,22,Ocupación de hecho,23,9357.8
2002,Chaco,22,Otras combinaciones,117,79942.7
2002,Chaco,22,Otras combinaciones sin tierra en propiedad,75,17338
2002,Chaco,22,Otros,11,5300
2002,Chaco,22,Sin discriminar tenencia,18,10636.5
2002,Chubut,26,Aparcería,3,2273
2002,Chubut,26,Arrendamiento,85,541793.8
2002,Chubut,26,Contrato accidental,10,7215.3
2002,Chubut,26,Ocupación con permiso,88,399341.3
2002,Chubut,26,Ocupación de hecho,23,203677.4
2002,Chubut,26,Otras combinaciones,13,113149.5
2002,Chubut,26,Otras combinaciones sin tierra en propiedad,20,45212
2002,Chubut,26,Otros,11,144378
2002,Chubut,26,Sin discriminar tenencia,8,75335.8
2002,Córdoba,14,Aparcería,297,140509.3
2002,Córdoba,14,Arrendamiento,5948,3604259.5
2002,Córdoba,14,Contrato accidental,535,515770.3
2002,Córdoba,14,Ocupación con permiso,245,67673.1
2002,Córdoba,14,Ocupación de hecho,47,23280.5
2002,Córdoba,14,Otras combinaciones,428,379440.2
2002,Córdoba,14,Otras combinaciones sin tierra en propiedad,198,109447.5
2002,Córdoba,14,Otros,30,17010.8
2002,Córdoba,14,Sin discriminar tenencia,58,26401.6
2002,Corrientes,18,Aparcería,38,14516.7
2002,Corrientes,18,Arrendamiento,668,1540798.6
2002,Corrientes,18,Contrato accidental,31,37141.3
2002,Corrientes,18,Ocupación con permiso,614,163878.6
2002,Corrientes,18,Ocupación de hecho,145,25178.4
2002,Corrientes,18,Otras combinaciones,75,45722.1
2002,Corrientes,18,Otras combinaciones sin tierra en propiedad,84,14878
2002,Corrientes,18,Otros,20,9168
2002,Corrientes,18,Sin discriminar tenencia,15,7993.2
2002,Entre Ríos,30,Aparcería,152,73348.9
2002,Entre Ríos,30,Arrendamiento,3078,1394087
2002,Entre Ríos,30,Contrato accidental,504,278161.6
2002,Entre Ríos,30,Ocupación con permiso,387,66178.1
2002,Entre Ríos,30,Ocupación de hecho,51,12704.7
2002,Entre Ríos,30,Otras combinaciones,322,271898.1
2002,Entre Ríos,30,Otras combinaciones sin tierra en propiedad,112,42608.4
