año,provincia,provincia_id,tenencia_tierra,EAP_con_limites_toda_superficie,hectareas
2002,Buenos Aires,06,Aparcería,210,70507.4
2002,Buenos Aires,06,Arrendamiento,5219,2059693.2
2002,Buenos Aires,06,Contrato accidental,1295,475940.6
2002,Buenos Aires,06,Ocupación con permiso,544,80147
2002,Buenos Aires,06,Ocupación de hecho,74,8793.7
2002,Buenos Aires,06,Otros,162,105186.4
2002,Buenos Aires,06,Propiedad,30430,12723722.2
2002,Buenos Aires,06,Sin discriminar tenencia,108,48037.2
2002,Catamarca,10,Aparcería,71,5253.5
2002,Catamarca,10,Arrendamiento,182,33135.6
2002,Catamarca,10,Contrato accidental,20,4305.1
2002,Catamarca,10,Ocupación con permiso,198,15331.8
2002,Catamarca,10,Ocupación de hecho,36,23401.8
2002,Catamarca,10,Otros,20,123
2002,Catamarca,10,Propiedad,5429,1387902.3
2002,Catamarca,10,Sin discriminar tenencia,163,35960
2002,Chaco,22,Aparcería,23,6923
2002,Chaco,22,Arrendamiento,490,164313.8
2002,Chaco,22,Contrato accidental,338,87294.9
2002,Chaco,22,Ocupación con permiso,1573,248870.3
2002,Chaco,22,Ocupación de hecho,170,23149.1
2002,Chaco,22,Otros,43,11291
2002,Chaco,22,Propiedad,10624,3909115.8
2002,Chaco,22,Sin discriminar tenencia,10,10385.5
2002,Chubut,26,Aparcería,8,13378
2002,Chubut,26,Arrendamiento,102,319609.1
2002,Chubut,26,Contrato accidental,9,25893
2002,Chubut,26,Ocupación con permiso,607,675229.9
2002,Chubut,26,Ocupación de hecho,47,109781.3
2002,Chubut,26,Otros,22,63038.5
2002,Chubut,26,Propiedad,2503,16406103.3
2002,Chubut,26,Sin discriminar tenencia,15,59852
2002,Córdoba,14,Aparcería,175,62459.7
2002,Córdoba,14,Arrendamiento,2968,1121021.1
2002,Córdoba,14,Contrato accidental,260,93038.7
2002,Córdoba,14,Ocupación con permiso,384,85333
2002,Córdoba,14,Ocupación de hecho,76,12885
2002,Córdoba,14,Otros,49,22134.6
2002,Córdoba,14,Propiedad,13836,5929534.2
2002,Córdoba,14,Sin discriminar tenencia,86,34058.7
2002,Corrientes,18,Aparcería,210,5273
2002,Corrientes,18,Arrendamiento,557,315745.1
2002,Corrientes,18,Contrato accidental,57,9045.8
2002,Corrientes,18,Ocupación con permiso,1564,86694
2002,Corrientes,18,Ocupación de hecho,219,20514.2
2002,Corrientes,18,Otros,40,19967.5
2002,Corrientes,18,Propiedad,10326,4536114.1
2002,Corrientes,18,Sin discriminar tenencia,10,7944.4
2002,Entre Ríos,30,Aparcería,66,17995.6
2002,Entre Ríos,30,Arrendamiento,1234,359883.5
2002,Entre Ríos,30,Contrato accidental,171,66763.8
2002,Entre Ríos,30,Ocupación con permiso,330,89510.7
2002,Entre Ríos,30,Ocupación de hecho,35,21420.7
2002,Entre Ríos,30,Otros,50,20568.2
2002,Entre Ríos,30,Propiedad,15010,3621268
2002,Entre Ríos,30,Sin discriminar tenencia,46,5152
2002,Formosa,34,Aparcería,11,4019.6
2002,Formosa,34,Arrendamiento,219,105616.4
2002,Formosa,34,Contrato accidental,33,4300.5
2002,Formosa,34,Ocupación con permiso,1011,309336.6
2002,Formosa,34,Ocupación de hecho,168,28359.6
2002,Formosa,34,Otros,54,26544.5
2002,Formosa,34,Propiedad,7012,4194597.2
2002,Formosa,34,Sin discriminar tenencia,10,16651
2002,Jujuy,38,Aparcería,0,2315.8
2002,Jujuy,38,Arrendamiento,444,16266.7
