pais_id,pais,provincia_id,provincia,departamento_id,departamento,link,suptot_1988,tot_eap_1988,eap_minifundio1988,eap_peaps1988
32,Argentina,6,Buenos Aires,7,Adolfo Alsina,6007,476780,1021,196,515
32,Argentina,6,Buenos Aires,14,Adolfo Gonzales Chaves,6014,334131,7,527,46,221
32,Argentina,6,Buenos Aires,21,Alberti,6021,99429,4,446,58,280
32,Argentina,6,Buenos Aires,28,Almirante Brown,6028,1245,90,-1,24
32,Argentina,6,Buenos Aires,35,Avellaneda,6035,-1,-1,-1,-1
32,Argentina,6,Buenos Aires,42,Ayacucho,6042,627694,1,1171,489,443
32,Argentina,6,Buenos Aires,49,Azul,6049,649412,6,1056,432,386
32,Argentina,6,Buenos Aires,56,Bahia Blanca,6056,229382,3,348,60,155
32,Argentina,6,Buenos Aires,63,Balcarce,6063,394978,1,1347,379,704
32,Argentina,6,Buenos Aires,70,Baradero,6070,85880,2,385,63,197
32,Argentina,6,Buenos Aires,77,Arrecifes,6077,103396,2,416,57,218
32,Argentina,6,Buenos Aires,84,Benito Juarez,6084,505076,752,169,301
32,Argentina,6,Buenos Aires,91,Berazategui,6091,8349,218,-1,80
32,Argentina,6,Buenos Aires,98,Berisso,6098,5566,5,90,64,64
32,Argentina,6,Buenos Aires,105,Bolivar,6105,478218,8,1904,1367,1347
32,Argentina,6,Buenos Aires,112,Bragado,6112,201313,7,989,176,594
32,Argentina,6,Buenos Aires,119,Brandsen,6119,94622,9,414,56,143
32,Argentina,6,Buenos Aires,126,Campana,6126,56387,269,86,123
32,Argentina,6,Buenos Aires,134,Canuelas,6134,104286,7,520,161,122
32,Argentina,6,Buenos Aires,140,Capitan Sarmiento,6140,52912,5,261,52,117
32,Argentina,6,Buenos Aires,147,Carlos Casares,6147,237499,4,1029,585,642
32,Argentina,6,Buenos Aires,154,Carlos Tejedor,6154,372280,7,842,273,486
32,Argentina,6,Buenos Aires,161,Carmen De Areco,6161,75762,8,245,39,81
32,Argentina,6,Buenos Aires,168,Castelli,6168,232381,4,369,211,188
32,Argentina,6,Buenos Aires,175,Colon,6175,86734,2,545,103,366
32,Argentina,6,Buenos Aires,182,Coronel De Marina L Rosales,6182,98471,169,3,79
32,Argentina,6,Buenos Aires,189,Coronel Dorrego,6189,502302,824,20,334
32,Argentina,6,Buenos Aires,196,Coronel Pringles,6196,513035,806,41,340
32,Argentina,6,Buenos Aires,203,Coronel Suarez,6203,587661,1,1243,432,722
32,Argentina,6,Buenos Aires,210,Chacabuco,6210,217494,8,1409,497,897
32,Argentina,6,Buenos Aires,217,Chascomus,6217,192353,7,505,53,181
32,Argentina,6,Buenos Aires,224,Chivilcoy,6224,175470,1,1084,283,565
32,Argentina,6,Buenos Aires,231,Daireaux,6231,343138,1,757,252,433
32,Argentina,6,Buenos Aires,238,Dolores,6238,171365,3,395,215,225
32,Argentina,6,Buenos Aires,245,Ensenada,6245,2933,3,21,8,12
32,Argentina,6,Buenos Aires,252,Escobar,6252,9868,436,369,140
32,Argentina,6,Buenos Aires,260,Esteban Echeverria,6260,-1,-1,-1,-1
32,Argentina,6,Buenos Aires,266,Exaltacion De La Cruz,6266,45516,9,590,291,236
32,Argentina,6,Buenos Aires,270,Ezeiza,6270,-1,-1,-1,-1
32,Argentina,6,Buenos Aires,274,Florencio Varela,6274,10908,597,-1,258
32,Argentina,6,Buenos Aires,277,Florentino Ameghino,6277,-1,-1,-1,-1
32,Argentina,6,Buenos Aires,280,General Alvarado,6280,153057,4,706,320,393
32,Argentina,6,Buenos Aires,287,General Alvear,6287,259593,8,450,234,216
32,Argentina,6,Buenos Aires,294,General Arenales,6294,137261,8,899,94,623
32,Argentina,6,Buenos Aires,301,General Belgrano,6301,192740,6,401,241,179
32,Argentina,6,Buenos Aires,308,General Guido,6308,218964,8,385,129,155
32,Argentina,6,Buenos Aires,315,General Juan Madariaga,6315,280496,9,500,258,202
32,Argentina,6,Buenos Aires,322,General La Madrid,6322,421591,9,624,128,262
32,Argentina,6,Buenos Aires,329,General Las Heras,6329,62045,3,376,67,154
32,Argentina,6,Buenos Aires,336,General Lavalle,6336,224614,8,233,60,102
32,Argentina,6,Buenos Aires,343,General Paz,6343,99673,2,534,87,269
32,Argentina,6,Buenos Aires,351,General Pinto,6351,412387,1,801,344,297
32,Argentina,6,Buenos Aires,357,General Pueyrredon,6357,128735,7,708,389,216
32,Argentina,6,Buenos Aires,364,General Rodriguez,6364,30709,5,217,76,55
32,Argentina,6,Buenos Aires,371,General San Martin,6371,-1,-1,-1,-1
32,Argentina,6,Buenos Aires,385,General Viamonte,6385,208676,1,956,261,624
32,Argentina,6,Buenos Aires,392,General Villegas,6392,656740,4,1206,352,464
32,Argentina,6,Buenos Aires,399,Guamini,6399,348305,658,170,344
32,Argentina,6,Buenos Aires,406,Hipolito Yrigoyen,6406,153184,5,433,204,271
32,Argentina,6,Buenos Aires,408,Hurlingham,6408,-1,-1,-1,-1
32,Argentina,6,Buenos Aires,410,Ituzaingo,6410,-1,-1,-1,-1
32,Argentina,6,Buenos Aires,412,Jose C Paz,6412,-1,-1,-1,-1
32,Argentina,6,Buenos Aires,413,Junin,6413,201351,8,1094,241,570
32,Argentina,6,Buenos Aires,420,La Costa,6420,5526,-1,-1,11
