pais_id,pais,provincia_id,provincia,departamento_id,departamento,link,tot_eap,eap_cld,p_eapcld,eap_cld_su,eap_sld,p_eapsld
32,Argentina,6,Buenos Aires,7,Adolfo Alsina,6007,589.00,589.00,100.00,312872.40,-1.00,-1.00
32,Argentina,6,Buenos Aires,14,Adolfo Gonzales Chaves,6014,185.00,185.00,100.00,190567.00,-1.00,-1.00
32,Argentina,6,Buenos Aires,21,Alberti,6021,135.00,135.00,100.00,75358.60,-1.00,-1.00
32,Argentina,6,Buenos Aires,28,Almirante Brown,6028,17.00,17.00,100.00,304.40,-1.00,-1.00
32,Argentina,6,Buenos Aires,35,Avellaneda,6035,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
32,Argentina,6,Buenos Aires,42,Ayacucho,6042,661.00,661.00,100.00,425878.50,-1.00,-1.00
32,Argentina,6,Buenos Aires,49,Azul,6049,513.00,513.00,100.00,496066.50,-1.00,-1.00
32,Argentina,6,Buenos Aires,56,Bahia Blanca,6056,287.00,287.00,100.00,204110.10,-1.00,-1.00
32,Argentina,6,Buenos Aires,63,Balcarce,6063,512.00,512.00,100.00,292502.10,-1.00,-1.00
32,Argentina,6,Buenos Aires,70,Baradero,6070,104.00,104.00,100.00,50297.60,-1.00,-1.00
32,Argentina,6,Buenos Aires,77,Arrecifes,6077,146.00,146.00,100.00,68017.40,-1.00,-1.00
32,Argentina,6,Buenos Aires,84,Benito Juarez,6084,251.00,251.00,100.00,279343.40,-1.00,-1.00
32,Argentina,6,Buenos Aires,91,Berazategui,6091,88.00,88.00,100.00,1411.70,-1.00,-1.00
32,Argentina,6,Buenos Aires,98,Berisso,6098,31.00,31.00,100.00,4800.10,-1.00,-1.00
32,Argentina,6,Buenos Aires,105,Bolivar,6105,1249.00,1249.00,100.00,380841.30,-1.00,-1.00
32,Argentina,6,Buenos Aires,112,Bragado,6112,378.00,378.00,100.00,153314.90,-1.00,-1.00
32,Argentina,6,Buenos Aires,119,Brandsen,6119,234.00,232.00,99.15,72016.60,2.00,0.85
32,Argentina,6,Buenos Aires,126,Campana,6126,116.00,116.00,100.00,46845.80,-1.00,-1.00
32,Argentina,6,Buenos Aires,134,Canuelas,6134,269.00,269.00,100.00,69486.30,-1.00,-1.00
32,Argentina,6,Buenos Aires,140,Capitan Sarmiento,6140,58.00,58.00,100.00,29188.50,-1.00,-1.00
32,Argentina,6,Buenos Aires,147,Carlos Casares,6147,383.00,383.00,100.00,298560.20,-1.00,-1.00
32,Argentina,6,Buenos Aires,154,Carlos Tejedor,6154,526.00,526.00,100.00,264382.60,-1.00,-1.00
32,Argentina,6,Buenos Aires,161,Carmen De Areco,6161,70.00,70.00,100.00,42200.20,-1.00,-1.00
32,Argentina,6,Buenos Aires,168,Castelli,6168,80.00,80.00,100.00,104424.60,-1.00,-1.00
32,Argentina,6,Buenos Aires,175,Colon,6175,314.00,314.00,100.00,89756.30,-1.00,-1.00
32,Argentina,6,Buenos Aires,182,Coronel De Marina L Rosales,6182,122.00,120.00,98.36,87368.40,2.00,1.64
32,Argentina,6,Buenos Aires,189,Coronel Dorrego,6189,400.00,400.00,100.00,436760.60,-1.00,-1.00
32,Argentina,6,Buenos Aires,196,Coronel Pringles,6196,306.00,306.00,100.00,260318.10,-1.00,-1.00
32,Argentina,6,Buenos Aires,203,Coronel Suarez,6203,668.00,668.00,100.00,470798.40,-1.00,-1.00
32,Argentina,6,Buenos Aires,210,Chacabuco,6210,220.00,220.00,100.00,90907.90,-1.00,-1.00
32,Argentina,6,Buenos Aires,217,Chascomus,6217,603.00,603.00,100.00,270859.40,-1.00,-1.00
32,Argentina,6,Buenos Aires,224,Chivilcoy,6224,370.00,370.00,100.00,128608.40,-1.00,-1.00
32,Argentina,6,Buenos Aires,231,Daireaux,6231,241.00,241.00,100.00,163888.10,-1.00,-1.00
32,Argentina,6,Buenos Aires,238,Dolores,6238,42.00,42.00,100.00,28680.70,-1.00,-1.00
