cod_pais;nom_pais;producto;año;cod_uni;nom_uni;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
32;Argentina;aceite de girasol;1965;t;tonelada;0;0;0;0;27783;28830;28824;30287;26573;20937;25782;24166
32;Argentina;aceite de girasol;1966;t;tonelada;15145;22353;28304;32616;33651;28389;30787;29485;25796;14434;9887;6936
32;Argentina;aceite de girasol;1967;t;tonelada;5213;13181;27869;40108;39125;37928;36247;35086;36145;22348;30692;29709
32;Argentina;aceite de girasol;1968;t;tonelada;24856;29466;29211;38347;35870;33802;31098;24320;27261;18020;15968;10941
32;Argentina;aceite de girasol;1969;t;tonelada;10175;12026;28262;35565;30059;29394;28479;26059;27758;24035;21953;15529
32;Argentina;aceite de girasol;1970;t;tonelada;17737;18093;41028;46460;42232;37858;38116;31472;28056;24582;24998;23898
32;Argentina;aceite de girasol;1971;t;tonelada;25118;22994;32111;34424;29562;30679;25970;21214;19381;19298;16261;17670
32;Argentina;aceite de girasol;1972;t;tonelada;21009;22133;28223;28478;26090;29008;28200;21345;23760;20771;20203;20093
32;Argentina;aceite de girasol;1973;t;tonelada;26964;37563;34711;32649;43088;32673;38983;32066;18341;18915;23880;16657
32;Argentina;aceite de girasol;1974;t;tonelada;16084;15518;22388;40154;40915;34660;29954;28214;29256;29966;25370;17026
32;Argentina;aceite de girasol;1975;t;tonelada;7843;16597;26145;31098;25602;26862;14926;14825;16663;9380;7861;5718
32;Argentina;aceite de girasol;1976;t;tonelada;5888;9540;29883;28161;35168;32233;26239;22885;33606;23618;22816;23148
32;Argentina;aceite de girasol;1977;t;tonelada;18496;20872;29578;43002;42045;39272;33998;29249;25671;14893;17421;17381
32;Argentina;aceite de girasol;1978;t;tonelada;37101;25537;46253;48808;50622;47684;47758;33159;30246;23755;17752;10635
32;Argentina;aceite de girasol;1979;t;tonelada;17126;21933;41231;57281;51682;45742;46269;46522;44589;38838;34004;23984
32;Argentina;aceite de girasol;1980;t;tonelada;33432;47488;72334;69222;70225;63799;61222;57945;43120;32030;32003;17717
32;Argentina;aceite de girasol;1981;t;tonelada;15722;21289;52068;58085;69310;60097;51059;28262;25861;8812;5503;4891
