cod_pais,nom_pais,año,producto,unidad_id,nom_unidad,enero,febrero,marzo ,abril,mayo,junio,julio,agosto,septiempre,octubre,noviembre,diciembre
32,Argentina,1965,expellers de girasol,t,tonelada,0,0,0,0,5511,6048,6961,6103,5364,3716,5867,5612
32,Argentina,1966,expellers de girasol,t,tonelada,2751,2728,4732,6043,10754,6726,5862,4742,1864,805,1028,937
32,Argentina,1967,expellers de girasol,t,tonelada,167,1467,3160,8461,10006,9480,8087,7233,7966,5132,5329,4956
32,Argentina,1968,expellers de girasol,t,tonelada,3545,3602,4879,8029,6915,6811,5970,4123,4683,3480,3394,1470
32,Argentina,1969,expellers de girasol,t,tonelada,1217,1221,4335,6583,5741,5447,4998,5565,4399,3779,1969,1838
32,Argentina,1970,expellers de girasol,t,tonelada,1759,1026,4356,7729,6537,6245,4201,2885,2082,2322,1743,1143
32,Argentina,1971,expellers de girasol,t,tonelada,2429,2035,3312,6312,4259,4291,3311,3211,2976,2581,2030,1853
32,Argentina,1972,expellers de girasol,t,tonelada,1016,1151,1586,1261,480,1854,2399,1019,1706,1255,444,1089
32,Argentina,1973,expellers de girasol,t,tonelada,1503,418,560,2080,2627,1556,631,312,290,820,1362,289
32,Argentina,1974,expellers de girasol,t,tonelada,34,0,0,405,1955,952,1089,975,2182,1692,2530,1854
32,Argentina,1975,expellers de girasol,t,tonelada,1051,2456,345,1806,2000,2600,594,980,555,1628,774,760
32,Argentina,1976,expellers de girasol,t,tonelada,194,0,0,395,1307,3847,948,1579,901,3205,1102,829
32,Argentina,1977,expellers de girasol,t,tonelada,146,596,1298,1717,2582,3560,1142,1425,1165,2789,2028,962
32,Argentina,1978,expellers de girasol,t,tonelada,747,683,1819,3319,3948,2862,3343,836,3835,616,617,373
32,Argentina,1979,expellers de girasol,t,tonelada,97,0,338,1387,0,639,2036,467,1658,1039,648,291
32,Argentina,1980,expellers de girasol,t,tonelada,268,293,34,0,1914,2230,2438,862,345,50,0,0
