cod_pais,nom_pais,año,producto,unidad_id,nom_unidad,enero,febrero,marzo ,abril,mayo,junio,julio,agosto,septiempre,octubre,noviembre,diciembre
32,Argentina,1965,pellets de girasol,t,tonelada,0,0,0,0,28851,31377,30691,31993,27829,24769,26495,24239
32,Argentina,1966,pellets de girasol,t,tonelada,17256,24919,29502,33331,34571,30975,34043,32638,32238,18224,11484,7731
32,Argentina,1967,pellets de girasol,t,tonelada,6474,14790,29450,38999,39161,39866,40547,40248,40211,24606,34537,32420
32,Argentina,1968,pellets de girasol,t,tonelada,26820,32898,29701,38566,39028,37893,34493,27101,30408,19955,16523,12828
32,Argentina,1969,pellets de girasol,t,tonelada,11186,13697,28916,36794,35023,33353,33023,29289,31392,28985,26464,18256
32,Argentina,1970,pellets de girasol,t,tonelada,21123,21066,45540,51021,49291,48091,47389,38463,38841,30466,30619,30504
32,Argentina,1971,pellets de girasol,t,tonelada,31116,29102,39728,44652,39601,42200,35435,27863,25256,26453,22480,24628
32,Argentina,1972,pellets de girasol,t,tonelada,29323,29097,35800,38847,35634,38403,39048,28736,33414,27939,27227,25933
32,Argentina,1973,pellets de girasol,t,tonelada,33094,50991,37050,47048,50999,50553,43278,41616,24035,23205,31060,22252
32,Argentina,1974,pellets de girasol,t,tonelada,20911,20396,27260,50985,50443,44069,37623,35865,35986,36729,29465,21042
32,Argentina,1975,pellets de girasol,t,tonelada,9078,18440,32854,38638,33264,34685,20665,18364,22840,13423,9956,7365
32,Argentina,1976,pellets de girasol,t,tonelada,7788,12279,38646,33110,43406,39626,33723,28746,42396,26710,26706,23658
32,Argentina,1977,pellets de girasol,t,tonelada,23020,26814,36496,55895,54219,51132,44263,38936,32774,16866,21251,23027
32,Argentina,1978,pellets de girasol,t,tonelada,48898,35395,57475,60492,63725,61622,61658,41831,36579,32129,21806,13994
32,Argentina,1979,pellets de girasol,t,tonelada,23661,28377,51240,70293,61927,56960,55442,55953,55553,46919,41419,29476
32,Argentina,1980,pellets de girasol,t,tonelada,41736,60065,85769,83887,84769,78007,74063,72367,54224,40333,39452,22939
32,Argentina,1981,pellets de girasol,t,tonelada,19905,26114,60163,69908,85461,76532,64193,37072,32232,11358,6856,5907
32,Argentina,1982,pellets de girasol,t,tonelada,30965,44303,86949,108539,119942,88227,72759,43809,35635,39289,39686,57800
32,Argentina,1983,pellets de girasol,t,tonelada,46248,55690,129282,131901,138693,117784,99767,78941,59917,48142,69831,43046
32,Argentina,1984,pellets de girasol,t,tonelada,55486,55760,126322,146909,103591,89283,75608,63266,70816,58528,36360,51290
32,Argentina,1985,pellets de girasol,t,tonelada,44460,76108,160636,171331,147160,139938,149230,136096,114869,48157,64503,24669
32,Argentina,1986,pellets de girasol,t,tonelada,96842,126594,203545,196892,167494,143230,119127,133924,120028,89161,63390,56826
32,Argentina,1987,pellets de girasol,t,tonelada,96817,118043,142790,134644,95204,53914,89338,63649,72661,58128,55391,18920
32,Argentina,1988,pellets de girasol,t,tonelada,84807,126922,193891,187972,150177,85677,92563,70233,50906,51608,55336,34204
32,Argentina,1989,pellets de girasol,t,tonelada,42565,89340,192206,178583,163911,98307,105911,125107,108377,82823,73516,75629
32,Argentina,1990,pellets de girasol,t,tonelada,137400,151704,220120,200894,171784,124765,122584,115982,76534,73142,61400,67995
32,Argentina,1991,pellets de girasol,t,tonelada,101824,127167,214778,237391,182309,164017,150786,127709,109462,60959,89829,46663
32,Argentina,1992,pellets de girasol,t,tonelada,102100,133790,223289,218434,168833,125397,127594,115143,101279,76042,76170,64128
32,Argentina,1993,pellets de girasol,t,tonelada,75016,128690,213548,173340,155445,115602,76493,82804,83183,56629,57939,42443
32,Argentina,1994,pellets de girasol,t,tonelada,51499,65248,185967,202613,176119,113046,130702,115970,98179,124692,75390,52993
32,Argentina,1995,pellets de girasol,t,tonelada,65607,130253,295577,252993,227365,204640,197570,163981,148787,178855,120892,111266
32,Argentina,1996,pellets de girasol,t,tonelada,85689,127336,307455,297596,240755,149799,180622,147041,150221,174062,151582,112458
32,Argentina,1997,pellets de girasol,t,tonelada,69333,182083,329303,266257,229182,194802,160798,197036,186877,201304,153554,90989
32,Argentina,1998,pellets de girasol,t,tonelada,66734,136125,367526,280974,242073,225677,215848,161006,162499,164101,111880,35329
32,Argentina,1999,pellets de girasol,t,tonelada,100693,202455,366578,332977,259388,222858,248477,184064,198566,174276,156056,76568
32,Argentina,2000,pellets de girasol,t,tonelada,143731,203110,328825,236290,167609,165472,138243,169004,151691,161523,140890,103619
32,Argentina,2001,pellets de girasol,t,tonelada,82603,112097,201437,126678,99987,94315,96612,103371,117758,97506,81123,90391
32,Argentina,2002,pellets de girasol,t,tonelada,44690,72793,189432,159430,148695,114845,116488,76809,77343,76097,86645,64348
32,Argentina,2003,pellets de girasol,t,tonelada,164114,124455,209148,138534,92062,118663,100773,91217,76187,91723,93437,70771
32,Argentina,2004,pellets de girasol,t,tonelada,82256,92849,169469,114091,80368,84378,105707,107611,84120,106966,98266,64561
32,Argentina,2005,pellets de girasol,t,tonelada,86967,99337,233369,159324,111705,157624,142366,137233,110508,91871,95946,86982
32,Argentina,2006,pellets de girasol,t,tonelada,113325,151124,234532,189600,156269,163234,120989,143214,105572,113199,48904,77761
32,Argentina,2007,pellets de girasol,t,tonelada,114266,127401,223763,143123,110747,112869,136463,110706,87254,78795,50866,18781
32,Argentina,2008,pellets de girasol,t,tonelada,98041,104890,228230,228481,196119,130901,173768,154613,144384,113291,80330,113559
32,Argentina,2009,pellets de girasol,t,tonelada,91349,141617,210866,137646,147107,138346,138970,111371,118171,113672,76864,59415
32,Argentina,2010,pellets de girasol,t,tonelada,47483,103689,194539,147587,97744,92138,90708,99608,89161,96614,58151,75040
32,Argentina,2011,pellets de girasol,t,tonelada,76845,99786,233030,140966,121179,175714,140820,158285,129151,109518,84774,101878
32,Argentina,2012,pellets de girasol,t,tonelada,101593,133418,244428,207886,113884,160188,144726,124831,104304,112646,74422,69976
32,Argentina,2013,pellets de girasol,t,tonelada,131761,110907,172663,119314,84610,89018,73456,66040,81436,84636,25594,35289
32,Argentina,2014,pellets de girasol,t,tonelada,82222,75873,138884,119568,79746,99324,60353,60671,46922,85219,43193,46942
32,Argentina,2015,pellets de girasol,t,tonelada,93212,81511,184741,145363,39491,99033,117542,111197,81300,52908,45756,63052
32,Argentina,2016,pellets de girasol,t,tonelada,82150,113938,170521,158126,89393,122666,87804,90528,53194,53348,34843,55761
32,Argentina,2017,pellets de girasol,t,tonelada,127389,88748,173860,180160,131866,99725,125127,120568,83738,78030,42044,44618
32,Argentina,2018,pellets de girasol,t,tonelada,99352,82893,159698,157294,145309,111062,94510,99529,112168,,,
