indice_tiempo,ingreso_granos_girasol_industria_aceitera,produccion_aceite_girasol,produccion_expellers_girasol,produccion_pellets_girasol
1950-01,71289,,,
1950-02,62960,,,
1950-03,77359,,,
1950-04,78555,,,
1950-05,86913,,,
1950-06,84099,,,
1950-07,87610,,,
1950-08,92316,,,
1950-09,81743,,,
1950-10,58277,,,
1950-11,64061,,,
1950-12,57181,,,
1951-01,48543,,,
1951-02,39518,,,
1951-03,26324,,,
1951-04,55144,,,
1951-05,83165,,,
1951-06,96213,,,
1951-07,97371,,,
1951-08,90263,,,
1951-09,76319,,,
1951-10,90073,,,
1951-11,86054,,,
1951-12,69621,,,
1952-01,69859,,,
1952-02,65994,,,
1952-03,51217,,,
1952-04,66038,,,
1952-05,93746,,,
1952-06,82033,,,
1952-07,74787,,,
1952-08,87976,,,
1952-09,90796,,,
1952-10,78526,,,
1952-11,50253,,,
1952-12,24648,,,
1953-01,8865,,,
1953-02,4159,,,
1953-03,2362,,,
1953-04,1618,,,
1953-05,565,,,
1953-06,37370,,,
1953-07,55247,,,
1953-08,52040,,,
1953-09,48474,,,
1953-10,47303,,,
1953-11,27995,,,
1953-12,15061,,,
1954-01,10635,,,
1954-02,9777,,,
1954-03,3015,,,
1954-04,2516,,,
1954-05,1697,,,
1954-06,11825,,,
1954-07,22728,,,
1954-08,35804,,,
1954-09,39503,,,
1954-10,27925,,,
1954-11,27703,,,
1954-12,12176,,,
1955-01,10652,,,
1955-02,11034,,,
1955-03,9916,,,
1955-04,11379,,,
1955-05,1033,,,
1955-06,22758,,,
1955-07,35345,,,
1955-08,41307,,,
1955-09,28608,,,
1955-10,28270,,,
1955-11,22116,,,
1955-12,16385,,,
1956-01,6702,,,
1956-02,8897,,,
1956-03,12818,,,
1956-04,84063,,,
1956-05,94667,,,
1956-06,99103,,,
1956-07,85167,,,
1956-08,79090,,,
1956-09,58797,,,
1956-10,41519,,,
1956-11,44026,,,
1956-12,33301,,,
1957-01,26589,,,
1957-02,15560,,,
1957-03,19725,,,
1957-04,62799,,,
1957-05,83932,,,
1957-06,78794,,,
1957-07,73377,,,
1957-08,62393,,,
1957-09,58516,,,
1957-10,50736,,,
1957-11,50072,,,
1957-12,31850,,,
1958-01,14606,,,
1958-02,18751,,,
1958-03,24447,,,
1958-04,62607,,,
1958-05,75310,,,
1958-06,80619,,,
1958-07,77427,,,
1958-08,78866,,,
1958-09,62160,,,
1958-10,67450,,,
1958-11,74704,,,
1958-12,65064,,,
1959-01,53251,,,
1959-02,44139,,,
1959-03,33793,,,
1959-04,51782,,,
1959-05,59283,,,
1959-06,55227,,,
1959-07,71893,,,
1959-08,44859,,,
1959-09,36777,,,
1959-10,25630,,,
1959-11,17955,,,
1959-12,22493,,,
1960-01,17391,,,
1960-02,32464,,,
1960-03,21113,,,
1960-04,55217,,,
1960-05,71225,,,
1960-06,78433,,,
1960-07,69687,,,
1960-08,68888,,,
1960-09,80244,,,
1960-10,63155,,,
1960-11,73807,,,
1960-12,59535,,,
1961-01,31757,,,
1961-02,26834,,,
1961-03,60419,,,
1961-04,80853,,,
1961-05,76533,,,
1961-06,63037,,,
1961-07,64581,,,
1961-08,43798,,,
1961-09,42357,,,
1961-10,36540,,,
1961-11,27624,,,
1961-12,18389,,,
1962-01,9465,,,
1962-02,11791,,,
1962-03,46703,,,
1962-04,76961,,,
1962-05,71330,,,
1962-06,73197,,,
1962-07,70413,,,
1962-08,55266,,,
1962-09,58831,,,
1962-10,56988,,,
1962-11,63623,,,
1962-12,77768,,,
1963-01,64995,,,
1963-02,64506,,,
1963-03,63540,,,
1963-04,69739,,,
1963-05,66014,,,
1963-06,64133,,,
1963-07,50754,,,
1963-08,51102,,,
1963-09,31991,,,
