indice_tiempo,superficie_sembrada_girasol_ha,superficie_cosechada_girasol_ha,produccion_girasol_t,rendimiento_girasol_kgxha
1969,1472300,1347400,1140000,787.08
1970,1614200,1313100,830000,642.48
1971,1532700,1286500,828000,632.02
1972,1652400,1337900,880000,673.63
1973,1341900,1189800,970000,777.75
1974,1196000,1005000,732000,736.92
1975,1411100,1258400,1085000,830.33
1976,1460000,1227000,900000,717.89
1977,2200000,2000000,1600000,791.87
1978,1766000,1557000,1430000,875.73
1979,2000000,1855000,1650000,911.21
1980,1390000,1280000,1260000,886.03
1981,1733000,1673000,1980000,1159.39
1982,1930000,1902000,2400000,1146.16
1983,2131000,1989000,2200000,994.45
1984,2380000,2360000,3400000,1333.15
1985,3140000,3046000,4100000,1295.27
1986,1890500,1735100,2200000,1223.24
1987,2117000,2032000,2915000,1336.75
1988,2313000,2215975,3200000,1327.98
1989,2800000,2688705,3900000,1314.97
1990,2372350,2301150,4033400,1596.43
1991,2724375,2602175,3676900,1304.34
1992,2187100,2059750,2955900,1371.63
1993,2205800,2152550,4094900,1722.27
1994,3010440,2954500,5799540,1890.08
1995,3410600,3235630,5557800,1786.06
1996,3119750,3007470,5450000,1739.19
1997,3511400,3331400,5599880,1496.77
1998,4243800,4067870,7125140,1774.18
1999,3587000,3477120,6069655,1715.43
2000,1976120,1903925,3179043,1633.74
2001,2050365,2014915,3843579,1947.28
2002,2378000,2324510,3714000,1737.47
2003,1847963,1835238,3176472,1854.05
2004,1966599,1922909,3662108,1960.74
2005,2231714,2167074,3759737,1949.54
2006,2381388,2351348,3497733,1731.17
2007,2612646,2569136,4650365,2109.07
2008,1967420,1820030,2483438,1548.99
2009,1545295,1491317,2223937,1582.44
2010,1758545,1743040,3671748,2171.15
2011,1851220,1823412,3340520,1878.92
2012,1657071,1620081,3104420,1984.08
2013,1313195,1261640,2063410,1796.99
2014,1464855,1439915,3158290,2208.25
2015,1435148,1413963,3000367,2261.52
2016,1861595,1819045,3546707,2111.43
2017,1704296,1678031,3537545,2080.05
2018,1826065,1761001,3530157,2157.69
2019,1404768,1381573,2857413,2161.41
2020,1636885,1628002,3247366,2067.73
2021,1968907,1958686,4050362,2082.04
2022,2465201,2453245,5018874,1951.39
2023,1857963,1842731,3895161,2165.83
