pais_id,pais,provincia_id,provincia,departamento_id,departamento,link,sup_eap,tot_eap,tot_ha,%_siembra_directa_sup,maiz_eap,maiz_ha,sorgran_eap,sorgran_ha,trigo_eap,trigo_ha,girasol_eap,girasol_ha,soja_eap,soja_ha,soja1_eap,soja1_ha,soja2_eap,soja2_ha,forraj_eap,forraj_ha,arroz_eap,arroz_ha,algodon_eap,algodon_ha,porotos_eap,porotos_ha,otros_ha,otroscult_ha
32,Argentina,6,Buenos Aires,7,Adolfo Alsina,6007,450109.00,128,45888.5,10.19,23,2610,5,328,68,19362,50,7908.5,-1,-1,34,6062,15,3164,29,4059,-1,-1,-1,-1,-1,-1,24,2395
32,Argentina,6,Buenos Aires,14,Adolfo Gonzales Chaves,6014,302585.50,103,41929.8,13.86,12,1467,2,91,68,20477,45,8043.8,-1,-1,36,6285,6,985,26,2893,-1,-1,-1,-1,-1,-1,13,1688
32,Argentina,6,Buenos Aires,21,Alberti,6021,117296.70,209,85940.2,73.27,102,14319.4,-1,-1,134,26335.5,1,10,-1,-1,117,11377.8,156,31308.5,16,1504,-1,-1,-1,-1,-1,-1,9,1085
32,Argentina,6,Buenos Aires,28,Almirante Brown,6028,387.80,-1,-1,-1.00,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
32,Argentina,6,Buenos Aires,35,Avellaneda,6035,88.80,-1,-1,-1.00,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
32,Argentina,6,Buenos Aires,42,Ayacucho,6042,585148.80,66,6031,1.03,20,1048,-1,-1,13,1492,10,769,-1,-1,6,508,-1,-1,42,2148,-1,-1,-1,-1,-1,-1,3,66
32,Argentina,6,Buenos Aires,49,Azul,6049,685448.00,173,89121,13.00,49,8502,-1,-1,95,32216,20,3821,-1,-1,106,27749,57,9495,52,7205,-1,-1,-1,-1,-1,-1,3,133
32,Argentina,6,Buenos Aires,56,Bahia Blanca,6056,214656.50,14,6212,2.89,-1,-1,-1,-1,6,4325,-1,-1,-1,-1,-1,-1,-1,-1,10,1812,-1,-1,-1,-1,-1,-1,2,75
32,Argentina,6,Buenos Aires,63,Balcarce,6063,324689.20,105,40691,12.53,42,6120,-1,-1,52,13607.7,26,4732,-1,-1,40,9298.3,15,3630,30,2920.5,-1,-1,-1,-1,-1,-1,5,382
32,Argentina,6,Buenos Aires,70,Baradero,6070,68856.00,107,42343,61.50,44,5909,-1,-1,55,9275.2,3,247,-1,-1,76,14417.7,77,11942,8,528,-1,-1,-1,-1,-1,-1,1,24
32,Argentina,6,Buenos Aires,77,Arrecifes,6077,83411.70,124,60008,71.94,56,9487,-1,-1,49,9737,1,60,-1,-1,112,27840.5,57,12099,4,549,-1,-1,-1,-1,-1,-1,3,235
32,Argentina,6,Buenos Aires,84,Benito Juarez,6084,424063.10,65,30092,7.10,14,1681,-1,-1,38,14205,19,3502,-1,-1,26,7129,6,572,21,2888,-1,-1,-1,-1,-1,-1,4,115
32,Argentina,6,Buenos Aires,91,Berazategui,6091,2670.50,-1,-1,-1.00,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
32,Argentina,6,Buenos Aires,98,Berisso,6098,7325.80,-1,-1,-1.00,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
32,Argentina,6,Buenos Aires,105,Bolivar,6105,442143.10,85,15487,3.50,19,1496,-1,-1,15,3162.7,4,247,-1,-1,27,4009,25,4018,29,2497,-1,-1,-1,-1,-1,-1,2,57
32,Argentina,6,Buenos Aires,112,Bragado,6112,198917.30,341,94391,47.45,104,11263.5,1,37,134,21756.9,-1,-1,-1,-1,143,22347,244,33076.7,37,2808.8,-1,-1,-1,-1,-1,-1,36,3101.5
32,Argentina,6,Buenos Aires,119,Brandsen,6119,97366.30,30,3371,3.46,1,200,-1,-1,-1,-1,1,90,-1,-1,-1,-1,-1,-1,28,3081,-1,-1,-1,-1,-1,-1,-1,-1
32,Argentina,6,Buenos Aires,126,Campana,6126,46737.00,11,7073,15.13,4,533,1,200,6,1362,-1,-1,-1,-1,10,3246,8,1554,1,178,-1,-1,-1,-1,-1,-1,-1,-1
32,Argentina,6,Buenos Aires,134,Canuelas,6134,62163.80,17,4458,7.17,2,160,-1,-1,4,1192,-1,-1,-1,-1,2,400,5,2134,10,572,-1,-1,-1,-1,-1,-1,-1,-1
32,Argentina,6,Buenos Aires,140,Capitan Sarmiento,6140,39566.90,63,21021,53.13,40,4059.6,-1,-1,29,3491,-1,-1,-1,-1,44,6939,29,3241,22,2979,-1,-1,-1,-1,-1,-1,1,311
32,Argentina,6,Buenos Aires,147,Carlos Casares,6147,223281.70,151,30727,13.76,41,2800,1,170,44,5445,3,1153,-1,-1,51,6170,103,12874,14,1693,-1,-1,-1,-1,-1,-1,7,422
32,Argentina,6,Buenos Aires,154,Carlos Tejedor,6154,345380.90,114,24083,6.97,30,3151,-1,-1,17,3553,7,944,-1,-1,50,5234,51,9233,27,1798,-1,-1,-1,-1,-1,-1,1,170
32,Argentina,6,Buenos Aires,161,Carmen De Areco,6161,88477.70,67,29322,33.14,28,4362.5,1,80,24,3729,-1,-1,-1,-1,53,13505,43,6965,10,638,-1,-1,-1,-1,-1,-1,1,42
32,Argentina,6,Buenos Aires,168,Castelli,6168,148514.20,25,6185,4.16,4,1092,-1,-1,5,1425,2,156,-1,-1,7,718,4,984,17,1809.8,-1,-1,-1,-1,-1,-1,-1,-1
32,Argentina,6,Buenos Aires,175,Colon,6175,81221.60,245,46696,57.49,63,6697.5,3,57,78,9225,-1,-1,-1,-1,157,17040.1,156,13036.5,9,324,-1,-1,-1,-1,-1,-1,5,316
32,Argentina,6,Buenos Aires,182,Coronel De Marina L Rosales,6182,104612.10,7,2348,2.24,-1,-1,-1,-1,4,1295,-1,-1,-1,-1,-1,-1,-1,-1,3,948,-1,-1,-1,-1,-1,-1,2,105
32,Argentina,6,Buenos Aires,189,Coronel Dorrego,6189,544226.70,124,105040,19.30,8,969,3,1340,87,53289,48,17353,-1,-1,8,2481,5,1567,26,7516,-1,-1,-1,-1,-1,-1,49,20525
32,Argentina,6,Buenos Aires,196,Coronel Pringles,6196,473820.70,68,22954,4.84,6,727,-1,-1,48,11477.5,20,3466,-1,-1,27,4177,-1,-1,20,2770,-1,-1,-1,-1,-1,-1,4,336
32,Argentina,6,Buenos Aires,203,Coronel Suarez,6203,608597.60,206,68981,11.33,26,3901,2,82,142,32895.5,38,5744,-1,-1,106,14518,37,3112,41,4885,-1,-1,-1,-1,-1,-1,25,3843
32,Argentina,6,Buenos Aires,210,Chacabuco,6210,187538.40,255,50709,27.04,43,6126,-1,-1,42,6090,1,20,-1,-1,80,16509.5,204,21207.5,9,728,-1,-1,-1,-1,-1,-1,1,28
32,Argentina,6,Buenos Aires,217,Chascomus,6217,333768.90,83,11294,3.38,23,1995,3,133,12,1735,4,368,-1,-1,13,2554,13,1952,44,2514.5,-1,-1,-1,-1,-1,-1,2,42
32,Argentina,6,Buenos Aires,224,Chivilcoy,6224,203484.70,347,57739,28.38,58,4405,-1,-1,71,7445,2,383,-1,-1,121,12613,273,29754.3,26,1456.5,-1,-1,-1,-1,-1,-1,7,1682
32,Argentina,6,Buenos Aires,231,Daireaux,6231,303979.70,127,45200,14.87,52,7479,1,100,44,7542,26,2590,-1,-1,80,17418.7,35,5512,30,4071,-1,-1,-1,-1,-1,-1,6,487
32,Argentina,6,Buenos Aires,238,Dolores,6238,134157.40,3,1333,0.99,2,132,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1200,-1,-1,-1,-1,-1,-1,1,1
32,Argentina,6,Buenos Aires,245,Ensenada,6245,1684.00,-1,-1,-1.00,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
32,Argentina,6,Buenos Aires,252,Escobar,6252,2873.00,1,612,21.30,-1,-1,-1,-1,1,15,-1,-1,-1,-1,1,85,-1,-1,1,512.3,-1,-1,-1,-1,-1,-1,-1,-1
32,Argentina,6,Buenos Aires,260,Esteban Echeverria,6260,467.20,-1,-1,-1.00,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
32,Argentina,6,Buenos Aires,266,Exaltacion De La Cruz,6266,45091.20,29,9586,21.26,6,852,-1,-1,6,1782,3,109,-1,-1,15,3319,15,3031,6,493,-1,-1,-1,-1,-1,-1,-1,-1
32,Argentina,6,Buenos Aires,270,Ezeiza,6270,2540.00,1,120,4.72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,120,-1,-1,-1,-1,-1,-1,-1,-1
32,Argentina,6,Buenos Aires,274,Florencio Varela,6274,3005.40,2,245,8.15,-1,-1,-1,-1,1,135,-1,-1,-1,-1,-1,-1,2,110,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
32,Argentina,6,Buenos Aires,277,Florentino Ameghino,6277,161951.10,73,30651,18.93,31,6155.5,-1,-1,15,2983,3,863,-1,-1,34,8470,41,6743,24,5436,-1,-1,-1,-1,-1,-1,-1,-1
32,Argentina,6,Buenos Aires,280,General Alvarado,6280,132807.80,37,18775,14.14,20,3552,-1,-1,22,7661,14,2808,-1,-1,10,2157,2,139,13,2237,-1,-1,-1,-1,-1,-1,1,221
32,Argentina,6,Buenos Aires,287,General Alvear,6287,280862.60,15,3773,1.34,1,426,-1,-1,4,858,-1,-1,-1,-1,7,770,6,1414,7,305,-1,-1,-1,-1,-1,-1,-1,-1
32,Argentina,6,Buenos Aires,294,General Arenales,6294,134326.70,422,91561,68.16,169,15184,-1,-1,155,15171.5,-1,-1,-1,-1,246,23867.5,297,31352,13,750.5,-1,-1,-1,-1,-1,-1,73,5235.5
32,Argentina,6,Buenos Aires,301,General Belgrano,6301,164896.70,43,7424,4.50,20,1107,-1,-1,8,909,2,205,-1,-1,12,1690,16,2752,13,739,-1,-1,-1,-1,-1,-1,1,22
32,Argentina,6,Buenos Aires,308,General Guido,6308,197038.70,16,1019,0.52,10,414,-1,-1,3,175,2,40,-1,-1,-1,-1,-1,-1,8,390,-1,-1,-1,-1,-1,-1,-1,-1
32,Argentina,6,Buenos Aires,315,General Juan Madariaga,6315,249327.60,49,5474,2.20,20,1250,1,141,18,1240.5,11,845,-1,-1,8,371,3,388.5,21,1238,-1,-1,-1,-1,-1,-1,-1,-1
32,Argentina,6,Buenos Aires,322,General La Madrid,6322,329851.50,46,19124,5.80,10,1254,-1,-1,23,7099,15,2860,-1,-1,27,5938,4,400,11,1123,-1,-1,-1,-1,-1,-1,1,450
32,Argentina,6,Buenos Aires,329,General Las Heras,6329,47456.00,25,2332,4.91,5,186,-1,-1,4,437,-1,-1,-1,-1,5,139,5,540,13,865,-1,-1,-1,-1,-1,-1,3,165
32,Argentina,6,Buenos Aires,336,General Lavalle,6336,227047.40,6,2029,0.89,1,105,-1,-1,1,55,1,70,-1,-1,-1,-1,1,60,5,1739,-1,-1,-1,-1,-1,-1,-1,-1
