indice_tiempo,sorgo_destino_industria
1960-01,2959
1960-02,2939
1960-03,5661
1960-04,4257
1960-05,2777
1960-06,375
1960-07,449
1960-08,3743
1960-09,4423
1960-10,3326
1960-11,3612
1960-12,3433
1961-01,2667
1961-02,24
1961-03,4369
1961-04,485
1961-05,7343
1961-06,7095
1961-07,8018
1961-08,9512
1961-09,9464
1961-10,7054
1961-11,8446
1961-12,8831
1962-01,5885
1962-02,816
1962-03,9378
1962-04,10073
1962-05,10211
1962-06,10135
1962-07,9895
1962-08,10952
1962-09,9227
1962-10,7513
1962-11,9715
1962-12,7092
1963-01,487
1963-02,2831
1963-03,5026
1963-04,5918
1963-05,6773
1963-06,7544
1963-07,8372
1963-08,7615
1963-09,646
1963-10,7311
1963-11,7536
1963-12,6551
1964-01,6697
1964-02,52
1964-03,6468
1964-04,7468
1964-05,7476
1964-06,7075
1964-07,7361
1964-08,811
1964-09,8847
1964-10,8018
1964-11,7993
1964-12,9067
1965-01,10238
1965-02,9418
1965-03,10088
1965-04,11078
1965-05,12003
1965-06,13869
1965-07,13378
1965-08,13252
1965-09,13698
1965-10,1345
1965-11,10108
1965-12,8257
1966-01,5203
1966-02,4741
1966-03,8528
1966-04,11108
1966-05,12318
1966-06,11906
1966-07,11919
1966-08,14893
1966-09,16247
1966-10,14838
1966-11,14923
1966-12,13089
1967-01,11747
1967-02,10364
1967-03,7067
1967-04,10225
1967-05,11057
1967-06,11243
1967-07,12096
1967-08,11225
1967-09,9873
1967-10,8672
1967-11,13357
1967-12,12526
1968-01,9764
1968-02,1161
1968-03,1271
1968-04,11942
1968-05,11786
1968-06,12203
1968-07,14036
1968-08,14504
1968-09,1426
1968-10,15863
1968-11,15187
1968-12,12251
1969-01,14182
1969-02,10053
1969-03,11239
1969-04,14635
1969-05,13735
1969-06,14264
1969-07,16372
1969-08,15299
1969-09,17211
1969-10,16878
1969-11,14775
1969-12,12339
1970-01,9081
1970-02,106
1970-03,13558
1970-04,15933
1970-05,15774
1970-06,16896
1970-07,18796
1970-08,19129
1970-09,19097
1970-10,19498
1970-11,18647
1970-12,20911
1971-01,1945
1971-02,16791
1971-03,15892
1971-04,1784
1971-05,17821
1971-06,19162
1971-07,19075
1971-08,17838
1971-09,17796
1971-10,20953
1971-11,20033
1971-12,18245
1972-01,15132
1972-02,15747
1972-03,17898
1972-04,1849
1972-05,22672
1972-06,25235
1972-07,26814
1972-08,24465
1972-09,24587
1972-10,27262
1972-11,26539
1972-12,2361
1973-01,21816
1973-02,22586
1973-03,22903
1973-04,24754
1973-05,26733
1973-06,24443
1973-07,3198
1973-08,37831
1973-09,29646
1973-10,23364
1973-11,18622
1973-12,17541
1974-01,19639
1974-02,1441
1974-03,12944
1974-04,17111
1974-05,22084
1974-06,22232
1974-07,23591
1974-08,23439
