pais_id,nom_pais,nombre_vulgar,unidad_superficie,superficie
32,Argentina,ACHICORIA,Hectareas,28.00
32,Argentina,AGROPIRO ALARGADO,Hectareas,3955.68
32,Argentina,ALFALFA,Hectareas,16643.41
32,Argentina,ALGODONERO,Hectareas,3997.75
32,Argentina,ARROZ,Hectareas,2927.48
32,Argentina,ARVEJA VARIEDAD,Hectareas,1405.20
32,Argentina,AVENA,Hectareas,1287.50
32,Argentina,AVENA BLANCA VARIEDAD,Hectareas,2353.00
32,Argentina,AVENA FORRAJERA,Hectareas,553.00
32,Argentina,AVENA SATIVA,Hectareas,112.10
32,Argentina,AVENA STRIGOSA,Hectareas,60.00
32,Argentina,CEBADA CERVECERA,Hectareas,11897.00
32,Argentina,CEBADA FORRAJERA,Hectareas,366.66
32,Argentina,CEBADILLA,Hectareas,40.00
32,Argentina,CEBADILLA CRIOLLA,Hectareas,1899.00
32,Argentina,CEBADILLA INTERMEDIA,Hectareas,108.00
32,Argentina,CEBADILLA PERENNE,Hectareas,47.00
32,Argentina,CENTENO,Hectareas,913.31
32,Argentina,COLZA HIBRIDO,Hectareas,19.00
32,Argentina,COLZA-CANOLA,Hectareas,25.00
32,Argentina,COLZA-CANOLA HIBRIDO,Hectareas,162.00
32,Argentina,FESTUCA,Hectareas,1453.00
32,Argentina,FESTUCA ALTA,Hectareas,8407.80
32,Argentina,FESTULOLIUM,Hectareas,63.00
32,Argentina,FRUTILLA,Hectareas,30.77
32,Argentina,GARBANZO,Hectareas,655.45
32,Argentina,GIRASOL CONFITURA HIBRIDO,Hectareas,250.00
32,Argentina,GIRASOL HIBRIDO DE TRES LINEAS,Hectareas,367.00
32,Argentina,GIRASOL HIBRIDO SIMPLE CONFITERO,Hectareas,25.00
32,Argentina,GIRASOL HIBRIDOS SIMPLES,Hectareas,12470.30
32,Argentina,LINO,Hectareas,59.00
32,Argentina,LOLIUM PERENNE,Hectareas,35.00
32,Argentina,LOTUS CORNICULATUS,Hectareas,1010.50
32,Argentina,LOTUS TENUIS,Hectareas,595.00
32,Argentina,MAIZ HIBRIDO FORRAJERO,Hectareas,25.50
32,Argentina,MAIZ HIBRIDO SIMPLE MODIFICADO,Hectareas,63.00
32,Argentina,MAIZ HIBRIDO TRIPLE,Hectareas,275.50
32,Argentina,MAIZ HIBRIDOS DE TRES LINEAS,Hectareas,453.00
32,Argentina,MAIZ HIBRIDOS DOBLES,Hectareas,7779.73
32,Argentina,MAIZ HIBRIDOS SIMPLES,Hectareas,51907.41
32,Argentina,MAIZ PISINGALLO/REVENTON HIBRIDO,Hectareas,461.00
32,Argentina,MAIZ VARIEDADES,Hectareas,265.00
32,Argentina,MANI,Hectareas,13760.88
32,Argentina,MOHA,Hectareas,249.00
32,Argentina,PAPA VARIEDAD,Hectareas,4123.42
32,Argentina,PAPA VARIEDAD,Metros Cuadrados,4044.76
32,Argentina,PAPA VARIEDAD,Recipiente,13290.40
32,Argentina,PASTO OVILLO,Hectareas,2108.00
32,Argentina,PHALARIS AQUATICA L.,Hectareas,42.00
32,Argentina,PHALARIS BULBOSA,Hectareas,431.00
32,Argentina,POROTO VARIEDAD,Hectareas,483.00
32,Argentina,RAIGRAS ANUAL,Hectareas,11471.20
32,Argentina,RAIGRAS ANUAL CESPED,Hectareas,162.00
32,Argentina,RAIGRAS HIBRIDO,Hectareas,78.00
32,Argentina,RAIGRAS PERENNE,Hectareas,1776.00
32,Argentina,SOJA,Hectareas,289159.19
32,Argentina,SORGO FORRAJERO,Hectareas,858.60
32,Argentina,SORGO FORRAJERO HIBRIDOS,Hectareas,4353.00
32,Argentina,SORGO GRANIFERO HIBRIDOS,Hectareas,3808.25
32,Argentina,SORGO SILERO,Hectareas,66.20
32,Argentina,TREBOL BLANCO,Hectareas,4881.00
32,Argentina,TREBOL ROJO,Hectareas,146.00
32,Argentina,TRICEPIRO,Hectareas,16.60
32,Argentina,TRIGO FIDEOS O CANDEAL VARIEDAD,Hectareas,5354.00
32,Argentina,TRIGO PAN VARIEDADES,Hectareas,84748.98
32,Argentina,TRITICALE,Hectareas,269.50
32,Argentina,VICIA VILLOSA ROTH,Hectareas,81.00
32,Argentina,ZAPALLITO REDONDO DE TRONCO HIBRIDO,Hectareas,32.50
32,Argentina,ZAPALLITO REDONDO DE TRONCO VARIEDAD,Hectareas,48.35
