pais_id,nom_pais,nombreVulgar,unidadSuperficie,superficie
32,Argentina,ACHICORIA,Hectareas,106.00
32,Argentina,AGROPIRO ALARGADO,Hectareas,3236.32
32,Argentina,ALFALFA,Hectareas,17425.86
32,Argentina,ALGODONERO,Hectareas,4399.20
32,Argentina,ARROZ,Hectareas,3192.38
32,Argentina,ARVEJA VARIEDAD,Hectareas,113.50
32,Argentina,AVENA,Hectareas,1722.50
32,Argentina,AVENA BLANCA VARIEDAD,Hectareas,1968.90
32,Argentina,AVENA SATIVA,Hectareas,53.00
32,Argentina,AVENA STRIGOSA,Hectareas,145.00
32,Argentina,CEBADA CERVECERA,Hectareas,10689.00
32,Argentina,CEBADA FORRAJERA,Hectareas,316.00
32,Argentina,CEBADILLA,Hectareas,66.00
32,Argentina,CEBADILLA CRIOLLA,Hectareas,2092.50
32,Argentina,CEBADILLA PERENNE,Hectareas,47.00
32,Argentina,CENTENO,Hectareas,1197.00
32,Argentina,COLZA-CANOLA,Hectareas,60.00
32,Argentina,COLZA-CANOLA HIBRIDO,Hectareas,100.50
32,Argentina,FESTUCA,Hectareas,691.00
32,Argentina,FESTUCA ALTA,Hectareas,7774.40
32,Argentina,FRUTILLA,Hectareas,33.74
32,Argentina,GARBANZO,Hectareas,142.00
32,Argentina,GIRASOL HIBRIDO DE TRES LINEAS,Hectareas,418.00
32,Argentina,GIRASOL HIBRIDO SIMPLE CONFITERO,Hectareas,104.00
32,Argentina,GIRASOL HIBRIDOS SIMPLES,Hectareas,12482.55
32,Argentina,GRAMA DE RHODES,Hectareas,463.00
32,Argentina,LINO,Hectareas,100.00
32,Argentina,LOLIUM PERENNE,Hectareas,47.00
32,Argentina,LOTUS CORNICULATUS,Hectareas,973.00
32,Argentina,LOTUS TENUIS,Hectareas,588.00
32,Argentina,MAIZ HIBRIDO FORRAJERO,Hectareas,60.00
32,Argentina,MAIZ HIBRIDO SIMPLE MODIFICADO,Hectareas,30.00
32,Argentina,MAIZ HIBRIDO TRIPLE,Hectareas,6.00
32,Argentina,MAIZ HIBRIDOS DE TRES LINEAS,Hectareas,381.00
32,Argentina,MAIZ HIBRIDOS DOBLES,Hectareas,6080.94
32,Argentina,MAIZ HIBRIDOS SIMPLES,Hectareas,45901.68
32,Argentina,MAIZ PISINGALLO,Hectareas,19.00
32,Argentina,MAIZ PISINGALLO/REVENTON HIBRIDO,Hectareas,266.00
32,Argentina,MAIZ VARIEDADES,Hectareas,222.00
32,Argentina,MANI,Hectareas,12828.98
32,Argentina,MOHA,Hectareas,269.00
32,Argentina,PAPA VARIEDAD,Hectareas,3499.48
32,Argentina,PAPA VARIEDAD,Metros Cuadrados,11820.24
32,Argentina,PAPA VARIEDAD,Plantas,8.60
32,Argentina,PAPA VARIEDAD,Recipiente,10078.74
32,Argentina,PASTO OVILLO,Hectareas,1637.70
32,Argentina,PHALARIS AQUATICA L.,Hectareas,42.00
32,Argentina,PHALARIS BULBOSA,Hectareas,286.00
32,Argentina,POROTO VARIEDAD,Hectareas,932.00
32,Argentina,PORTAINJERTO DURAZNERO,Hectareas,160.00
32,Argentina,PORTAINJERTO DURAZNERO,Plantas,82.00
32,Argentina,RAIGRAS ANUAL,Hectareas,12415.32
32,Argentina,RAIGRAS ANUAL CESPED,Hectareas,387.50
32,Argentina,RAIGRAS HIBRIDO,Hectareas,80.00
32,Argentina,RAIGRAS PERENNE,Hectareas,1497.00
32,Argentina,SOJA,Hectareas,331572.29
32,Argentina,SOJA,Plantas,25.00
32,Argentina,SORGO FORRAJERO,Hectareas,622.10
32,Argentina,SORGO FORRAJERO HIBRIDOS,Hectareas,4950.50
32,Argentina,SORGO GRANIFERO HIBRIDOS,Hectareas,4145.90
32,Argentina,SORGO SILERO,Hectareas,169.30
32,Argentina,TREBOL BLANCO,Hectareas,4321.50
32,Argentina,TREBOL FRUTILLA,Hectareas,3.00
32,Argentina,TRIGO FIDEOS O CANDEAL VARIEDAD,Hectareas,6733.50
32,Argentina,TRIGO PAN LINEA,Hectareas,1068.30
32,Argentina,TRIGO PAN VARIEDADES,Hectareas,95529.37
32,Argentina,TRITICALE,Hectareas,306.00
32,Argentina,ZAPALLITO REDONDO DE TRONCO HIBRIDO,Hectareas,60.50
32,Argentina,ZAPALLITO REDONDO DE TRONCO VARIEDAD,Hectareas,40.00
32,Argentina,ZAPALLO/ZAPALLITO REDONDO DE TRONCO HIBRIDO.,Hectareas,43.50
