pais_id,nom_pais,nombreVulgar,unidadSuperficie,superficie
32,Argentina,AGROPIRO ALARGADO,Hectareas,2856.35
32,Argentina,ALFALFA,Hectareas,12858.94
32,Argentina,ALGODONERO,Hectareas,2934.70
32,Argentina,ARROZ,Hectareas,7614.48
32,Argentina,ARVEJA VARIEDAD,Hectareas,1990.80
32,Argentina,AVENA,Hectareas,4344.50
32,Argentina,AVENA AMARILLA,Hectareas,55.00
32,Argentina,AVENA BLANCA VARIEDAD,Hectareas,3450.33
32,Argentina,AVENA FORRAJERA,Hectareas,1267.00
32,Argentina,BUFFEL GRASS,Hectareas,23.00
32,Argentina,CEBADA CERVECERA,Hectareas,17072.00
32,Argentina,CEBADA FORRAJERA,Hectareas,897.50
32,Argentina,CEBADILLA,Hectareas,88.00
32,Argentina,CEBADILLA CRIOLLA,Hectareas,1755.50
32,Argentina,CEBADILLA DE HUNGRIA O PERENNE,Hectareas,108.00
32,Argentina,CEBADILLA INTERMEDIA,Hectareas,168.00
32,Argentina,CEBADILLA PERENNE,Hectareas,66.00
32,Argentina,CENTENO,Hectareas,1642.00
32,Argentina,COLZA-CANOLA,Hectareas,160.00
32,Argentina,COLZA-CANOLA HIBRIDO,Hectareas,318.00
32,Argentina,FESTUCA,Hectareas,35.00
32,Argentina,FESTUCA ALTA,Hectareas,8428.60
32,Argentina,FESTULOLIUM,Hectareas,15.00
32,Argentina,FRUTILLA,Hectareas,81.48
32,Argentina,GARBANZO,Hectareas,266.70
32,Argentina,GIRASOL CONFITURA HIBRIDO,Hectareas,351.60
32,Argentina,GIRASOL HIBRIDO DE TRES LINEAS,Hectareas,148.00
32,Argentina,GIRASOL HIBRIDO SIMPLE CONFITERO,Hectareas,372.00
32,Argentina,GIRASOL HIBRIDOS SIMPLES,Hectareas,7921.80
32,Argentina,GRAMA DE RHODES,Hectareas,97.00
32,Argentina,LINO,Hectareas,195.00
32,Argentina,LOLIUM PERENNE,Hectareas,43.00
32,Argentina,LOTUS CORNICULATUS,Hectareas,1646.00
32,Argentina,LOTUS TENUIS,Hectareas,973.80
32,Argentina,MAIZ HIBRIDO FORRAJERO,Hectareas,176.50
32,Argentina,MAIZ HIBRIDOS DE TRES LINEAS,Hectareas,309.10
32,Argentina,MAIZ HIBRIDOS DOBLES,Hectareas,11723.69
32,Argentina,MAIZ HIBRIDOS SIMPLES,Hectareas,43638.73
32,Argentina,MAIZ PISINGALLO,Hectareas,12.00
32,Argentina,MAIZ PISINGALLO/REVENTON HIBRIDO,Hectareas,138.30
32,Argentina,MAIZ VARIEDADES,Hectareas,293.50
32,Argentina,MANI,Hectareas,7370.25
32,Argentina,MELILOTUS,Hectareas,15.00
32,Argentina,MOHA,Hectareas,297.00
32,Argentina,PAPA VARIEDAD,Hectareas,10511.08
32,Argentina,PAPA VARIEDAD,Metros Cuadrados,13541.66
32,Argentina,PAPA VARIEDAD,Plantas,99000.00
32,Argentina,PAPA VARIEDAD,Recipiente,26751.47
32,Argentina,PASTO OVILLO,Hectareas,1717.50
32,Argentina,PHALARIS AQUATICA L.,Hectareas,129.00
32,Argentina,PHALARIS BULBOSA,Hectareas,170.00
32,Argentina,POROTO VARIEDAD,Hectareas,380.00
32,Argentina,RAIGRAS ANUAL,Hectareas,11014.65
32,Argentina,RAIGRAS ANUAL CESPED,Hectareas,158.00
32,Argentina,RAIGRAS HIBRIDO,Hectareas,125.00
32,Argentina,RAIGRAS PERENNE,Hectareas,3159.00
32,Argentina,SOJA,Hectareas,383364.89
32,Argentina,SOJA FORRAJERA VARIEDAD,Hectareas,112.00
32,Argentina,SORGO FORRAJERO,Hectareas,854.50
32,Argentina,SORGO FORRAJERO HIBRIDOS,Hectareas,11490.00
32,Argentina,SORGO FORRAJERO VARIEDADES,Hectareas,50.00
32,Argentina,SORGO GRANIFERO HIBRIDOS,Hectareas,8106.25
32,Argentina,SORGO SILERO,Hectareas,73.00
32,Argentina,TREBOL BLANCO,Hectareas,3979.00
32,Argentina,TREBOL FRUTILLA,Hectareas,10.00
32,Argentina,TREBOL ROJO,Hectareas,90.00
32,Argentina,TRICEPIRO,Hectareas,30.00
32,Argentina,TRIGO FIDEOS O CANDEAL VARIEDAD,Hectareas,5976.10
32,Argentina,TRIGO PAN LINEA,Hectareas,307.00
32,Argentina,TRIGO PAN VARIEDADES,Hectareas,97933.93
32,Argentina,TRITICALE,Hectareas,798.60
32,Argentina,ZAPALLO/ZAPALLITO REDONDO DE TRONCO HIBRIDO,Hectareas,52.90
32,Argentina,ZAPALLO/ZAPALLITO REDONDO DE TRONCO VARIEDAD,Hectareas,16.70
