indice_tiempo,superficie_sembrada_trigo_ha,superficie_cosechada_trigo_ha,produccion_trigo_t,rendimiento_trigo_kgxha
1923,6833343,6778430,6635565,978.63
1924,7200500,6465440,5201979,805.14
1925,6577970,5928650,4093998,691.22
1926,7800000,7669751,6261624,824.78
1927,8372990,8172990,7682990,1002.36
1928,9219000,9075547,9499716,1134.09
1929,8285600,6436023,4424628,762.87
1930,8613060,7902300,6321836,899.1
1931,6999000,6486300,5979200,894.86
1932,8009000,7200350,6556000,851.65
1933,7962300,7304900,7790600,998.83
1934,7613000,6942200,6550000,944.12
1935,5750000,4731000,3850000,830.87
1936,7792842,7115166,6801495,902.26
1937,8384045,6978544,5650000,906.03
1938,8620970,8149388,10318660,1049.96
1939,7216798,5065460,3558000,798.17
1940,7084800,6718000,8150000,986.57
1941,7300000,5933000,6486876,942.61
1942,6872800,4875310,6400000,1045.91
1943,6811200,5989071,6800000,1090.28
1944,6232500,4361130,4085220,928.86
1945,5762064,4043450,3907000,944.28
1946,6673456,5618836,5614970,922.81
1947,5449700,4594300,6500000,1020.72
1948,5805800,4343200,5200000,981.19
1949,5692000,4534100,5144000,938.78
1950,6554200,5240700,5796000,981.71
1951,4791000,2740400,2100000,772.71
1952,6065210,5578900,7633540,1169.36
1953,6353900,4996200,6200000,1150.61
1954,5936800,5461600,7690000,1112.26
1955,5210000,4061800,5250000,1056.44
1956,5947100,5392200,7100000,1180.31
1957,5310900,4394300,5805000,1108.61
1958,5707600,5242500,6720000,1107.09
1959,4792000,4378100,5837000,1132.01
1960,4274800,3621500,4200000,1038.58
1961,4952200,4420900,5725000,1110.22
1962,4847300,3744700,5700000,1198.13
1963,6276000,5676000,8940000,1260.81
1964,6496700,6135380,11260000,1442.29
1965,5723800,4601200,6079000,1096.47
1966,6291200,5213600,6247000,1126.8
1967,6613000,5811600,7320000,1030.95
1968,6679500,5837200,5740000,994.6
1969,6238470,5191080,7019726,1037.73
1970,4467955,3700577,4919767,1094.49
1971,4985687,4294504,5439840,1006.39
1972,5625107,4963365,7896787,1159.52
1973,4251550,3957830,6559916,1362.29
1974,5182780,4232990,5969991,1256.03
1975,5752800,5270600,8570000,1381.74
1976,7191820,6428000,11000000,1278.58
1977,4599850,3909995,5299995,1159.61
1978,5229860,4685000,8100000,1253.47
1979,4999850,4787000,8100000,1342.03
1980,6195870,5022990,7779990,1308.99
1981,6565810,5925860,8299810,1347.82
1982,7409800,7320000,15000000,1642.66
1983,7199860,7072860,12999720,1623.73
1984,6000000,5900000,13600000,1907.9
1985,5700000,5381600,8700000,1465.61
1986,5000000,4893400,8700000,1541.98
1987,4850000,4789100,9000000,1593.37
1988,4750000,4651315,8540000,1597.74
1989,5500000,5285474,10000000,1701.67
1990,6178400,5797500,10992400,1854.47
1991,4750850,4546650,9884000,2012.12
1992,4547700,4254700,9874400,2160.02
1993,4909900,4776700,9658300,1714.69
1994,5307850,5220590,11306210,1938.94
1995,5087800,4877650,9445015,1731.76
1996,7366850,7099510,15913600,2096.61
1997,5918665,5701815,14800230,2146.76
1998,5453250,5399080,12443000,2349.73
1999,6300000,6153440,15302560,2383.37
2000,6496600,6408045,15959352,2262.29
2001,7108900,6840720,15291660,1958.97
2002,6300210,6050210,12301442,1912.52
2003,6039857,5735292,14562955,2351.82
2004,6255365,6061930,15925025,2585.58
2005,5222485,4975920,12593396,2492.31
2006,5675975,5540405,14547960,2530.77
2007,5951577,5777560,16354091,2563.97
2008,4733735,4266430,8376452,1906.92
2009,3556705,3272740,9023139,2633.26
2010,4582250,4531520,15875653,3247.35
2011,4630600,4496078,14500519,3024.44
2012,3161138,3018403,8023996,2406.99
2013,3648070,3451785,9188339,2460.65
2014,5261085,4957300,13930078,2581.57
2015,4381128,3953102,11314952,2765.98
2016,6364015,5566385,18395106,3047.65
2017,5927610,5822173,18518045,2978.43
2018,6287149,6050953,19459727,2991.11
2019,6951171,6729838,19776942,2736.07
2020,6729898,6394102,17644277,2522.01
2021,6751729,6548477,22150287,2895.02
2022,5907287,5488728,12555860,1954.72
2023,5916678,5575352,15853154,2584.31
2024,6550169,6341303,18510280,2596.39
